Time (s),altitude (m)
1.282570508,162.134548875849000
1.286956482,163.323293868633000
1.292608594,164.862002510069000
1.298260707,166.408371132107000
1.30391282,167.962405352743000
1.319138691,172.186910008979000
1.334364563,176.467189200859000
1.346886244,180.029136968702000
1.359407926,183.628935524557000
1.371929607,187.266641467088000
1.39551084,194.220379845438000
1.419092073,201.309135832971000
1.442673305,208.533268992127000
1.466254538,215.893136009535000
1.471010237,217.393899582072000
1.475765937,218.900197881944000
1.480521637,220.412032160014000
1.490425995,223.578396357033000
1.500330354,226.768771644961000
1.510234712,229.983133882135000
1.51461699,231.413005477497000
1.518999268,232.847562639835000
1.523381545,234.286802079830000
1.52813765,235.854109114220000
1.532893754,237.426923197912000
1.537649858,239.005240069642000
1.551993909,243.798596523294000
1.566337961,248.641847237764000
1.580682012,253.534871307747000
1.600372696,260.332541996889000
1.620063381,267.223189276807000
1.639754065,274.206171485583000
1.659444749,281.280887093188000
1.664489797,283.108235738168000
1.669534846,284.941573453769000
1.674579894,286.780897772594000
1.692227114,293.261724076219000
1.709874334,299.815266810330000
1.723200992,304.812028746505000
1.736527649,309.849513988312000
1.749854306,314.927588109595000
1.763180963,320.046148044417000
1.768413274,322.066837766740000
1.773645584,324.093742534080000
1.778877895,326.126854991642000
1.80990067,338.308283993416000
1.840923444,350.705144293083000
1.849696938,354.249755810328000
1.858470432,357.811304310595000
1.867243926,361.389726348121000
1.876295336,365.099117471085000
1.885346746,368.826331369608000
1.894398156,372.571299216931000
1.89847709,374.264721337948000
1.902556025,375.961728714170000
1.906634959,377.662315089632000
1.910557523,379.301077444284000
1.914480087,380.943138316267000
1.91840265,382.588492165382000
1.92964357,387.321775514787000
1.94088449,392.081927942816000
1.95212541,396.868829766221000
1.969729867,404.419139338582000
1.987334325,412.034390052329000
2.004938782,419.714208906315000
2.02462208,428.376879099981000
2.040312287,435.339276780517000
2.056002495,442.352019368783000
2.071692702,449.414820820299000
2.08738291,456.527391482317000
2.104898551,464.525886595793000
2.122414192,472.585627377059000
2.139929834,480.706198958002000
2.157445475,488.887235508469000
2.174961116,497.128455669113000
2.196634219,507.408772353514000
2.213890533,515.659458240404000
2.231146846,523.967922739309000
2.24840316,532.333967914205000
2.265659473,540.757394463729000
2.287275608,551.389664496930000
2.308891743,562.111283554269000
2.326666519,570.994263696457000
2.344441295,579.937198271344000
2.362216071,588.939880271464000
2.379990847,598.002100485047000
2.397765623,607.123647355856000
2.420253739,618.748631398760000
2.442741855,630.467792352832000
2.465229971,642.280680502259000
2.487718087,654.186837665492000
2.510206203,666.185747765630000
2.53269432,678.276807642672000
2.555182436,690.459316748368000
