Time (s),Acceleration m/s^2
3.250780199,50.17890516
3.277124521,45.92429546
3.303468844,41.39973137
3.30686601,40.52633233
3.310263176,39.6529805
3.313660342,38.7795508
3.320454675,37.03274597
3.327249007,35.28595985
3.33404334,33.53921181
3.361867383,26.38702755
3.389691427,19.36441583
3.391706316,19.08641023
3.393721206,18.80842026
3.395736095,18.53046
3.399765873,17.97462178
3.403795651,17.41889604
3.40782543,16.86326055
3.426566323,14.28122884
3.441901439,12.19933977
3.44357276,12.15816842
3.445244082,12.11700497
3.446915403,12.07585612
3.450258046,11.99357946
3.453600688,11.911341
3.456943331,11.82914063
3.476209464,11.35618596
3.495475597,10.88488506
3.51474173,10.41526555
3.543976721,9.70616294
3.548438525,9.4151583
3.552900328,9.091533988
3.557362131,8.768273638
3.566285738,8.12296655
3.575209344,7.479480019
3.584132951,6.838389204
3.60840702,5.112434905
3.61225433,4.413684485
3.616101641,3.525838077
3.619948951,2.676311702
3.627643572,1.400875589
3.635338193,1.968018398
3.643032814,3.589773308
3.664414108,8.668729775
3.685795402,13.85577737
3.68748308,14.2661128
3.689170758,14.58698084
3.690858437,14.70297455
3.694233794,14.93486489
3.69760915,15.16671846
3.727505166,17.21889912
3.757401181,19.26781808
3.782102346,20.94843054
3.80680351,22.56434604
3.824873265,23.95087257
3.838352768,25.36273632
3.851832271,26.7736629
3.86109273,28.33547438
3.870353188,30.0421562
3.879613647,31.74779519
3.894246703,34.44064413
3.905343407,36.01191912
3.916440111,37.3736573
3.927536816,38.73407463
3.94380635,40.72647027
3.960075884,42.71588806
3.976345418,44.70226291
3.980241136,45.17742159
3.984136854,45.45988557
3.988032572,45.63216769
3.995824008,45.97648609
3.995963104,45.98263135
3.9961022,45.98877655
3.996241296,45.99492167
3.996380392,46.00106674
3.996519488,46.00721174
3.99679768,46.01950161
3.997075872,60.04591989
3.997530375,60.04135542
3.997984877,60.03679142
3.99843938,60.03222787
4.002621905,59.99025355
4.00680443,59.94831749
4.010986955,59.90643691
4.042411377,59.59343654
4.073835798,59.28244746
4.10526022,58.97397408
4.122408231,58.80646124
4.139556241,58.63965036
4.156704252,58.47367136
4.188673279,58.16589896
4.220642306,57.86090757
4.252611332,57.55867348
4.259890925,57.49021062
4.267170518,57.42201486
4.27445011,57.35395889
4.293627614,57.17530584
4.312805118,56.99756592
4.331982622,56.82088478
4.338467468,56.76142002
4.344952315,56.70205953
4.351437162,56.64280295
4.368401784,56.48826919
4.385366405,56.33442152
4.402331027,56.1814751
4.446069298,55.78998251
4.48980757,55.4021975
4.533545841,55.01738268
4.577284113,54.63594864
4.60027478,54.43703812
4.623265448,54.23932898
4.646256115,54.04271506
4.679570057,53.76023789
4.712883998,53.48093364
4.74619794,53.20492128
4.779511881,52.9316928
4.793339682,52.8190816
4.807167483,52.70708576
4.820995283,52.59549252
4.845044594,52.40229288
4.869093904,52.21025524
4.893143215,52.01937124
4.927640742,51.74691628
4.962138269,51.47643105
4.996635796,51.20743852
5.03173042,50.93585393
5.066825045,50.66615784
5.10191967,50.39893191
5.133364145,50.16146179
5.164808619,49.92611521
5.196253094,49.69279825
5.231624398,49.4337943
5.266995702,49.17804705
5.302367006,48.92443668
5.320225776,48.7973208
5.338084547,48.67066855
5.355943317,48.54446669
5.367999067,48.459522
5.380054816,48.37492808
5.392110566,48.29054708
5.443988681,47.92957598
5.495866797,47.5726664
5.547744912,47.21956272
5.599623028,46.8705425
5.619231066,46.73990368
5.638839103,46.60983523
5.658447141,46.48032473
5.671128652,46.39685656
5.683810164,46.31368505
5.696491676,46.2308368
5.707588175,46.15852139
5.718684674,46.08636933
5.729781173,46.01437813
5.738667392,45.95684108
5.747553611,45.89940449
5.756439831,45.84206724
5.779919639,45.69181407
5.803399447,45.54301101
5.826879255,45.3948427
5.836492433,45.33436012
5.888376492,45.01040028
5.931386325,44.74437569
5.974396157,44.48093918
6.01740599,44.21991556
6.085229657,43.81338977
6.13408182,43.5246201
6.182933983,43.23882021
6.231786147,42.95614025
6.28063831,42.67631809
6.343231322,42.32173391
6.405824334,41.97341834
6.468417346,41.63115657
6.531010358,41.29268094
6.540511306,41.24167059
6.550012253,41.19073808
6.559513201,41.13988559
6.578515096,41.03842823
6.597516991,40.93731602
6.616518886,40.83670691
6.635520781,40.73654965
6.686852681,40.46792269
6.729556609,40.24705307
6.772260538,40.02823422
6.814964467,39.81161572
6.857668395,39.59683862
6.900372324,39.3838558
6.943076253,39.17249056
6.985780181,38.96269231
7.022835821,38.78208207
7.059891461,38.6040989
7.088864658,38.46651145
7.117837856,38.32939854
7.146811053,38.19263996
7.189766952,37.99082207
7.22178172,37.84097833
7.253796487,37.69173659
7.285811254,37.54360423
7.317826022,37.39646544
7.36216547,37.19471013
7.395890295,37.04305559
7.42961512,36.89271864
7.463339944,36.74376095
7.497064769,36.59598616
7.536176822,36.42560293
7.575288875,36.25628223
7.614400927,36.08760236
7.65351298,35.91962451
7.692625033,35.75278484
7.736426729,35.56734008
7.771892883,35.41917423
7.807359038,35.27278561
7.842825192,35.12749922
7.878291346,34.98344851
7.913757501,34.84016916
7.96140337,34.64878964
7.998195662,34.50194295
8.034987953,34.35576534
8.071780244,34.21056141
8.108572536,34.06643172
8.159080022,33.870306
8.209587509,33.67670544
8.249609288,33.52477911
8.289631067,33.37430282
8.329652847,33.22499272
8.369674626,33.07658007
8.423902887,32.87717959
8.465402001,32.72547237
8.506901115,32.57485316
8.548400229,32.42550084
8.589899342,32.27864823
8.631398456,32.13301653
8.67289757,31.98816094
8.714396684,31.84414324
8.766799098,31.6635513
8.80895569,31.51920181
8.851112282,31.37619019
8.893268875,31.23431484
8.935425467,31.09378881
8.986742102,30.92465466
9.038058737,30.75722458
9.089375372,30.59161853
9.140692007,30.4271858
9.197631649,30.24629871
9.243827565,30.10048749
9.290023481,29.95576462
9.336219397,29.81227333
9.382415313,29.66998494
9.439662399,29.49659616
9.483588424,29.36546596
9.527514449,29.23549132
9.571440473,29.10647317
9.615366498,28.97811658
9.670240679,28.81898082
9.72511486,28.66089967
9.779989041,28.5042822
9.834863221,28.34926489
9.889737402,28.19605467
9.944611583,28.04479854
9.953895005,28.01937901
9.963178427,27.99400339
9.972461848,27.9686692
9.991028692,27.91811538
10.00959554,27.86778741
10.02816238,27.81760084
10.09949154,27.62588196
10.15317959,27.48021551
10.20686764,27.3341198
10.26055569,27.18919792
10.31424374,27.04587736
10.36793179,26.90402676
10.42161984,26.76470602
10.47530789,26.62715138
10.52899594,26.49108794
10.58268399,26.35630331
10.63637204,26.22237401
10.69006009,26.08950367
10.74374814,25.95741177
10.79743619,25.82644808
10.85112424,25.69683412
10.9048123,25.5685801
10.95850035,25.44207767
11.0121884,25.31695164
11.06587645,25.19315346
11.1195645,25.07048858
11.17325255,24.94854323
11.2269406,24.82749528
11.28062865,24.70716103
11.3343167,24.58772488
11.38800475,24.46954023
11.4416928,24.352528
11.49538085,24.14298977
11.5490689,23.87788737
11.60275695,23.6191334
11.656445,23.36655045
11.71013305,23.11976956
11.7638211,22.87835817
11.81750916,22.64191631
11.87119721,22.41015101
11.92488526,22.18291643
11.97857331,21.96020554
12.03226136,21.74209711
12.08594941,21.52868145
12.15267929,21.27000025
12.20296068,21.07982622
12.25324207,20.89355944
12.30352346,20.71098147
12.35380485,20.53184539
12.41193029,20.32874893
12.47005573,20.12967694
12.52818116,19.9344943
12.5863066,19.74318886
12.6562291,19.51828168
12.72615159,19.30009026
12.78186413,19.13086182
12.83757667,18.96523807
12.89328921,18.80303111
12.94900176,18.64400526
13.0047143,18.48792991
13.06042684,18.33462514
13.11613938,18.18398915
13.17185192,18.03600058
13.23705285,17.86621856
13.30225377,17.70019608
13.3674547,17.53797725
13.43265563,17.37951569
13.49785655,17.22466188
13.56305748,17.07662631
13.62825841,16.93490226
13.69345934,16.79587514
13.75866026,16.66876125
13.82386119,16.56210477
13.88906212,16.45717895
13.97189459,16.33629157
14.05472707,16.24231057
14.13755954,16.15067874
14.22039202,16.06990381
14.30322449,15.99442645
14.38605697,15.91972969
14.46888944,15.84573503
14.55172192,15.7724915
14.63455439,15.70013571
14.71738687,15.62881041
14.80021934,15.55858575
14.88305182,15.48942459
14.96588429,15.42120483
15.04871677,15.35376806
15.14151515,15.27900544
15.23431352,15.20503968
15.3271119,15.13197077
15.41991028,15.05996186
15.51270866,14.98913521
15.60550704,14.91949681
15.69830541,14.85191347
15.79110379,14.78534925
15.87409279,14.72599947
15.95708179,14.66673707
16.0400708,14.60775059
16.1230598,14.5494404
16.2060488,14.49222962
16.22061449,14.48233171
16.23518017,14.47247518
16.24974586,14.46265764
16.26431154,14.45287775
16.29344291,14.43342524
16.32257428,14.41410771
16.35170565,14.39491386
16.41041773,14.35653312
16.46912982,14.31848315
16.5278419,14.28066905
16.60659507,14.23021754
16.68534824,14.17997194
16.76410141,14.12993773
16.84285458,14.08024255
16.92160775,14.03107217
17.00036092,13.98260192
17.07911409,13.93494113
17.15786726,13.88810522
17.23662043,13.8420177
17.3153736,13.7965374
17.39412677,13.75150297
17.47287994,13.70716822
17.55163311,13.66346513
17.64508301,13.61163441
17.73853291,13.55986898
17.83198282,13.50841895
17.92543272,13.4576518
18.01888262,13.40789019
18.11233252,13.35928893
18.20578243,13.31177757
18.29923233,13.26510097
18.39268223,13.21893271
18.48613213,13.17300944
18.57958203,13.12722481
18.67303194,13.08164962
18.76648184,13.03648083
18.85993174,12.99194838
18.95338164,12.94822471
19.04683155,12.90536976
19.14028145,12.86332222
19.25012044,12.81473179
19.35995943,12.76677443
19.46979843,12.71923672
19.57963742,12.67205691
19.68947641,12.62532536
19.7993154,12.57929132
19.9091544,12.53418122
20.01899339,12.49009128
20.12883238,12.44695181
20.23867137,12.40456472
20.34851037,12.36269486
20.45834936,12.32116528
20.56818835,12.27991559
20.67802734,12.23900785
20.81146423,12.18997311
20.92238698,12.14995153
21.03330973,12.11070831
21.14423248,12.07225527
21.25515523,12.03452101
21.36607798,11.99738071
21.5003034,11.95303347
21.63452882,11.90919826
21.76875424,11.86629047
21.90297966,11.82440742
22.03720507,11.78319397
22.17143049,11.74278856
22.30565591,11.70326145
22.43988133,11.66462583
22.58969002,11.62245556
22.73949871,11.58110188
22.8893074,11.54036987
23.03911609,11.50013774
23.18892478,11.4608533
23.33873347,11.42287862
23.48854216,11.38560492
23.63835085,11.34914966
23.78815954,11.31352481
23.93796823,11.27867752
24.08777692,11.24449613
24.27177409,11.20325041
24.42413626,11.16960409
24.57649843,11.13638093
24.7288606,11.10364559
24.88122276,11.07146163
25.03358493,11.03992617
25.20407843,11.0054196
25.37457192,10.97174681
25.4049535,10.9658285
25.43533508,10.95990325
25.46571665,10.95377911
25.52647981,10.94160378
25.58724296,10.92956598
25.64800611,10.91767572
25.78338162,10.89175819
25.88522213,10.87283607
25.98706263,10.85439765
26.08890314,10.83640045
26.19074365,10.81879213
26.30741054,10.79898168
26.42407742,10.7794291
26.54074431,10.76002685
26.6574112,10.7406729
26.77407809,10.72133793
26.90744135,10.69926764
27.04080461,10.67727806
27.17416787,10.65548166
27.30753114,10.63396726
27.4408944,10.61285179
27.60686384,10.58722075
27.73662311,10.56773972
27.86638238,10.54874609
27.99614165,10.53020878
28.12590092,10.51209088
28.28820376,10.48990542
28.45050659,10.46815632
28.61280943,10.44670549
28.77511227,10.42550047
28.93741511,10.4044959
29.09971795,10.38373026
29.26202079,10.36323091
29.42432363,10.34307701
29.61282889,10.32016116
29.80133414,10.29785774
