Time (s),Velocity m/s
11.4416928,342.6998547
11.49538085,341.4003718
11.5490689,340.1132505
11.60275695,338.8399461
11.656445,337.5806129
11.71013305,336.3349174
11.7638211,335.1024586
11.81750916,333.8828908
11.87119721,332.6759226
11.92488526,331.4812931
11.97857331,330.2987534
12.03226136,329.128058
12.08594941,327.9689621
12.15267929,326.5441013
12.20296068,325.4817686
12.25324207,324.4289409
12.30352346,323.3854316
12.35380485,322.3510621
12.41193029,321.1664946
12.47005573,319.9936615
12.52818116,318.832321
12.5863066,317.6822382
12.6562291,316.313326
12.72615159,314.9599466
12.78186413,313.8924368
12.83757667,312.8343049
12.89328921,311.785357
12.94900176,310.7454094
13.0047143,309.7142872
13.06042684,308.691824
13.11613938,307.6778612
13.17185192,306.6722466
13.23705285,305.5057679
13.30225377,304.350282
13.3674547,303.2055518
13.43265563,302.0713406
13.49785655,300.9474147
13.56305748,299.8334395
13.62825841,298.7289992
13.69345934,297.6337692
13.75866026,296.5472494
13.82386119,295.4684543
13.88906212,294.3966432
13.97189459,293.044277
14.05472707,291.7008809
14.13755954,290.3653737
14.22039202,289.0369708
14.30322449,287.7151157
14.38605697,286.3995366
14.46888944,285.0901461
14.55172192,283.786907
14.63455439,282.4897663
14.71738687,281.1986496
14.80021934,279.9134744
14.88305182,278.6341575
14.96588429,277.3606175
15.04871677,276.0927771
15.14151515,274.67908
15.23431352,273.2723595
15.3271119,271.872535
15.41991028,270.479525
15.51270866,269.0932416
15.60550704,267.713588
15.69830541,266.3404459
15.79110379,264.9736969
15.87409279,263.7567552
15.95708179,262.5447918
16.0400708,261.3377595
16.1230598,260.1356113
16.2060488,258.9382958
16.22061449,258.7286453
16.23518017,258.5191416
16.24974586,258.3097842
16.26431154,258.1005729
16.29344291,257.6825868
16.32257428,257.2651806
16.35170565,256.8483521
16.41041773,256.0100066
16.46912982,255.1739751
16.5278419,254.3402385
16.60659507,253.225488
16.68534824,252.1147938
16.76410141,251.0081109
16.84285458,249.9054001
16.92160775,248.8066232
17.00036092,247.7117414
17.07911409,246.6207139
17.15786726,245.5334987
17.23662043,244.4500528
17.3153736,243.3703333
17.39412677,242.2942984
17.47287994,241.2218996
17.55163311,240.1530845
17.64508301,238.889404
17.73853291,237.6306621
17.83198282,236.3768149
17.92543272,235.1278157
18.01888262,233.8836092
18.11233252,232.6441304
18.20578243,231.409309
18.29923233,230.179076
18.39268223,228.953369
18.48613213,227.7321347
18.57958203,226.5153278
18.67303194,225.3029074
18.76648184,224.0948327
18.85993174,222.8910588
18.95338164,221.6915359
19.04683155,220.4962095
19.14028145,219.3050232
19.25012044,217.9101477
19.35995943,216.5208334
19.46979843,215.137006
19.57963742,213.7585966
19.68947641,212.3855319
19.7993154,211.0177398
19.9091544,209.6551497
20.01899339,208.2976907
20.12883238,206.9452895
20.23867137,205.5978732
20.34851037,204.2553735
20.45834936,202.9177288
20.56818835,201.584883
20.67802734,200.2567831
20.81146423,198.6496609
20.92238698,197.3189011
21.03330973,195.9927988
21.14423248,194.6712924
21.25515523,193.3543201
21.36607798,192.041822
21.5003034,190.4594981
21.63452882,188.8835542
21.76875424,187.3138759
21.90297966,185.7503234
22.03720507,184.1927792
22.17143049,182.6411526
22.30565591,181.0953596
22.43988133,179.5553163
22.58969002,177.8431647
22.73949871,176.137961
22.8893074,174.4396042
23.03911609,172.7480031
23.18892478,171.0630403
23.33873347,169.3845512
23.48854216,167.7123963
23.63835085,166.0464788
23.78815954,164.386724
23.93796823,162.7330587
24.08777692,161.0854075
24.27177409,159.0698617
24.42413626,157.407548
24.57649843,155.7512341
24.7288606,154.1008625
24.88122276,152.4563768
25.03358493,150.8177188
25.20407843,148.9908954
25.37457192,147.1712148
25.4049535,146.8476954
25.43533508,146.5243995
25.46571665,146.2013247
25.52647981,145.5558327
25.58724296,144.9112162
25.64800611,144.2674728
25.78338162,142.836397
25.88522213,141.7626674
25.98706263,140.6913727
26.08890314,139.6225103
26.19074365,138.5560768
26.30741054,137.3373668
26.42407742,136.1218299
26.54074431,134.9094519
26.6574112,133.7002153
26.77407809,132.494101
26.90744135,131.119178
27.04080461,129.7482845
27.17416787,128.3813985
27.30753114,127.0185038
27.4408944,125.6595901
27.60686384,123.9739887
27.73662311,122.6604344
27.86638238,121.3506538
27.99614165,120.0446559
28.12590092,118.7424504
28.28820376,117.1190089
28.45050659,115.5015405
28.61280943,113.8900659
28.77511227,112.284606
28.93741511,110.6851857
29.09971795,109.0918349
29.26202079,107.5045921
29.42432363,105.923505
29.61282889,104.0949697
29.80133414,102.274929
29.98983939,100.4635152
30.17834464,98.66087973
30.3668499,96.86716465
30.55535515,95.08249202
30.7438604,93.30702795
30.77348878,93.02882246
30.80311717,92.75085242
30.83274555,92.47311892
30.86237393,92.19562303
30.89200232,91.91836588
30.95125908,91.36457229
31.01051585,90.81174764
31.06977262,90.2599017
31.12902938,89.70904442
31.26132448,88.48283385
31.39361958,87.26171616
31.52591468,86.04581086
31.65820978,84.83524127
31.83584638,83.21838998
32.01348299,81.61171644
32.1911196,80.01556963
32.3687562,78.43032537
32.54639281,76.85639186
32.72402942,75.29421008
32.90166602,73.7442637
33.09915627,72.03610143
33.29664652,70.34453686
33.49413677,68.67047416
33.69162702,67.01491334
33.88911727,65.37895435
34.11222202,63.55591241
34.33532677,61.76135256
34.55843152,59.9974017
34.78153627,58.26641101
35.00464102,56.5709754
35.28407305,54.50204727
35.56350508,52.49966026
35.84293711,50.57084538
36.12236914,48.72346415
36.40180116,46.96625017
36.68123319,45.3088239
36.96066522,43.76166162
37.24009725,42.33600544
37.56815562,40.83332362
37.896214,39.53411431
38.22427237,38.45779697
38.55233075,37.62241571
38.88038912,37.04334331
39.2084475,36.73198432
39.38289912,36.67785477
39.39047619,36.67726862
39.40004307,36.67674079
39.40960994,36.67644738
39.42874369,36.67656031
39.44787745,36.67761092
39.4670112,36.67959909
39.63847375,36.73921026
39.8099363,36.87369255
39.98139884,37.08224765
40.15286139,37.36366729
40.39672357,37.88624083
40.64058574,38.54721752
40.88444791,39.33974491
40.89047619,39.36093796
40.89271796,39.17954327
40.89495972,39.00004361
40.89944326,38.64488716
40.90392679,38.29707586
40.90841033,37.95640026
40.93337817,36.1813682
40.95834601,34.590684
40.98331386,33.15927138
41.0082817,31.86625205
41.04631121,30.12391791
41.08434072,28.61328718
41.12237023,27.29574342
41.16039974,26.1403884
41.19842925,25.12263888
41.26159799,23.68404256
41.32476673,22.50073978
41.38793547,21.51983332
41.45110421,20.70224424
41.51427295,20.01781912
41.57744169,19.44301643
41.68114266,18.68988084
41.78484363,18.12133834
41.88854461,17.69317844
41.99224558,17.37317211
42.09594656,17.13729252
42.19964753,16.96733771
42.37576773,16.79177907
42.55188794,16.71720902
42.72800814,16.70989218
42.90412835,16.74652919
43.08024855,16.81075955
43.25636876,16.89109534
43.55618202,17.04332428
43.85599529,17.19525786
44.15580855,17.33479448
44.45562182,17.45704448
44.75543508,17.56100444
45.05524834,17.64778124
45.3821678,17.72518983
45.70908726,17.78745877
46.03600671,17.83740597
46.36292617,17.87749697
46.68984562,17.90978204
47.09807347,17.94163258
47.50630133,17.96645522
47.91452918,17.98614336
48.32275703,18.00203024
48.75420423,18.01586196
49.18565143,18.02737461
49.61709863,18.03723298
50.41127482,18.05237926
51.205451,18.06551132
51.99962718,18.07730297
52.79380336,18.08804141
53.22868629,18.09373234
53.66356921,18.09938448
54.09845214,18.10497744
54.53329323,18.11051635
54.96813431,18.11601901
55.4029754,18.12149786
56.27152275,18.13239797
57.14007009,18.14326629
58.00861743,18.15412771
58.87633834,18.16498515
59.74405925,18.1758558
60.61178015,18.18674339
65.13492754,18.24381904
69.65807492,18.30144479
74.1812223,18.35962066
74.31642915,18.36136799
74.451636,18.36311579
74.58684285,18.36486406
74.7220497,18.36651806
74.85725656,18.36797003
75.12767026,18.37019045
75.39808396,18.37183297
75.95718097,18.37424282
76.51627797,18.37494217
77.07537498,18.37441108
78.36563183,18.37004857
79.65588868,18.36370379
80.94614554,18.35694401
82.23640239,18.35009445
84.18282435,18.33951084
86.12924632,18.32880089
88.07566828,18.31804023
93.30997807,18.2892677
98.54428786,18.26081839
103.7785976,18.23275277
113.8031886,18.18003273
118.3597002,18.1565008
122.9162118,18.13322616
123.2118469,18.13172529
123.507482,18.12991637
123.8917449,18.12709754
124.2760079,18.12394068
124.8452426,18.11898392
125.4144773,18.11351937
125.983712,18.10769049
128.8023737,18.07587189
129.1101069,18.07247421
129.4178401,18.0690635
129.7255732,18.06563113
130.0333064,18.06218005
130.6487728,18.05524743
131.2642391,18.04828717
131.8797054,18.04131276
134.1183861,18.01596765
136.3570667,17.99070799
138.5957473,17.96559461
143.437873,17.91184439
148.2799987,17.85885688
153.1221244,17.80662521
163.4919984,17.69727574
170.514406,17.6251967
171.054239,17.61977707
171.594072,17.61442821
172.133905,17.6091422
173.213571,17.5987035
174.293237,17.58839989
175.372903,17.57818648
177.952135,17.55399936
180.5313671,17.53007383
183.1105992,17.50637179
