Mach,CD Power-On
6.99,0.172529244
7,0.172388948
7.01,0.172258627
7.02,0.17212865
7.03,0.171999012
7.04,0.171869725
7.05,0.171740766
7.06,0.171612154
7.07,0.171483878
7.08,0.171355928
7.09,0.171228322
7.1,0.171101048
7.11,0.170974104
7.12,0.170847483
7.13,0.1707212
7.14,0.170595256
7.15,0.170469628
7.16,0.170344327
7.17,0.17021935
7.18,0.170094698
7.19,0.169970368
7.2,0.169846359
7.21,0.169722679
7.22,0.169599311
7.23,0.169476261
7.24,0.169353528
7.25,0.169231121
7.26,0.169109018
7.27,0.16898723
7.28,0.168865765
7.29,0.168744601
7.3,0.168623749
7.31,0.168503205
7.32,0.168382971
7.33,0.168263055
7.34,0.168143435
7.35,0.168024121
7.36,0.167905112
7.37,0.167786406
7.38,0.167668003
7.39,0.1675499
7.4,0.167432089
7.41,0.167314589
7.42,0.167197385
7.43,0.16708048
7.44,0.16696387
7.45,0.166847547
7.46,0.166731527
7.47,0.166615794
7.48,0.166500351
7.49,0.166385209
7.5,0.16627034
7.51,0.166150191
7.52,0.166030359
7.53,0.16591084
7.54,0.165791636
7.55,0.165672744
7.56,0.165554154
7.57,0.165435884
7.58,0.165317914
7.59,0.165200251
7.6,0.165082897
7.61,0.164965847
7.62,0.164849103
7.63,0.164732664
7.64,0.164616516
7.65,0.164500681
7.66,0.164385137
7.67,0.164269892
7.68,0.164154947
7.69,0.164040299
7.7,0.163925948
7.71,0.163811882
7.72,0.163698112
7.73,0.163584634
7.74,0.163471461
7.75,0.163358558
7.76,0.163245955
7.77,0.163133644
7.78,0.163021609
7.79,0.162909864
7.8,0.162798405
7.81,0.162687231
7.82,0.162576333
7.83,0.162465728
7.84,0.162355396
7.85,0.162245347
7.86,0.162135578
7.87,0.162026089
7.88,0.16191687
7.89,0.161807929
7.9,0.161699264
7.91,0.161590877
7.92,0.161482753
7.93,0.161374915
7.94,0.161267339
7.95,0.161160037
7.96,0.161052997
7.97,0.160946237
7.98,0.160839737
7.99,0.160733506
8,0.160627543
8.01,0.160521837
8.02,0.160416408
8.03,0.160311225
8.04,0.160206314
8.05,0.160101669
8.06,0.159997275
8.07,0.159893144
8.08,0.159789273
8.09,0.159685654
8.1,0.159582293
8.11,0.15947919
8.12,0.159376345
8.13,0.159273747
8.14,0.159171405
8.15,0.159069318
8.16,0.158967486
8.17,0.158865896
8.18,0.158764558
8.19,0.158663474
8.2,0.158562629
8.21,0.158462035
8.22,0.15836169
8.23,0.158261594
8.24,0.158161725
8.25,0.158062113
8.26,0.157962747
8.27,0.157863616
8.28,0.15776473
8.29,0.157666087
8.3,0.157567677
8.31,0.157469519
8.32,0.157371584
8.33,0.157273898
8.34,0.157176431
8.35,0.157079214
8.36,0.156982236
8.37,0.156885484
8.38,0.15678897
8.39,0.15669268
8.4,0.156596626
8.41,0.156500808
8.42,0.156405211
8.43,0.156309858
8.44,0.156214719
8.45,0.156119808
8.46,0.15602514
8.47,0.155930681
8.48,0.155836461
8.49,0.155742461
8.5,0.155648678
8.51,0.155555132
8.52,0.155461791
8.53,0.155368689
8.54,0.155275798
8.55,0.155183133
8.56,0.155090681
8.57,0.154998453
8.58,0.154906446
8.59,0.15481465
8.6,0.154723075
8.61,0.154631721
8.62,0.154540575
8.63,0.154449648
8.64,0.154358929
8.65,0.154268429
8.66,0.154178133
8.67,0.154088063
8.68,0.153998189
8.69,0.153908539
8.7,0.153819093
8.71,0.153729851
8.72,0.153640831
8.73,0.153552013
8.74,0.153463396
8.75,0.153374989
8.76,0.153286783
8.77,0.153198785
8.78,0.153110998
8.79,0.153023406
8.8,0.152936023
8.81,0.152848846
8.82,0.152761867
8.83,0.152675092
8.84,0.152588511
8.85,0.152502135
8.86,0.152415953
8.87,0.152329972
8.88,0.152244185
8.89,0.152158599
8.9,0.152073215
8.91,0.151988021
8.92,0.151903026
8.93,0.151818221
8.94,0.151733614
8.95,0.151649207
8.96,0.151564985
8.97,0.151480951
8.98,0.151397113
8.99,0.15131347
9,0.151230013
9.01,0.15114674
9.02,0.151063671
9.03,0.150980776
9.04,0.150898082
9.05,0.150815571
9.06,0.150733242
9.07,0.150651104
9.08,0.150569146
9.09,0.150487377
9.1,0.150405798
9.11,0.150324399
9.12,0.150243186
9.13,0.150162151
9.14,0.150081294
9.15,0.150000624
9.16,0.149920139
9.17,0.149839828
9.18,0.149759703
9.19,0.149679753
9.2,0.149599986
9.21,0.149520392
9.22,0.149440979
9.23,0.149361741
9.24,0.149282683
9.25,0.149203796
9.26,0.14912509
9.27,0.149046552
9.28,0.148968197
9.29,0.148890008
9.3,0.148811998
9.31,0.148734156
9.32,0.148656492
9.33,0.148578994
9.34,0.148501673
9.35,0.148424517
9.36,0.148347536
9.37,0.14827072
9.38,0.148194079
9.39,0.1481176
9.4,0.148041288
9.41,0.147965145
9.42,0.147889175
9.43,0.147813367
9.44,0.14773773
9.45,0.147662254
9.46,0.147586938
9.47,0.147511793
9.48,0.147436816
9.49,0.147361997
9.5,0.147287337
9.51,0.147212055
9.52,0.147135941
9.53,0.147059994
9.54,0.146984211
9.55,0.146908606
9.56,0.146833165
9.57,0.146757901
9.58,0.146682799
9.59,0.146607863
9.6,0.146533099
9.61,0.1464585
9.62,0.146384061
9.63,0.146309796
9.64,0.146235701
9.65,0.146161769
9.66,0.146087997
9.67,0.146014385
9.68,0.145940944
9.69,0.145867662
9.7,0.145794538
9.71,0.145721583
9.72,0.145648786
9.73,0.145576147
9.74,0.145503674
9.75,0.145431359
9.76,0.1453592
9.77,0.145287206
9.78,0.14521537
9.79,0.145143686
9.8,0.145072167
9.81,0.145000793
9.82,0.144929584
9.83,0.144858526
9.84,0.144787631
9.85,0.144716888
9.86,0.144646299
9.87,0.14457586
9.88,0.144505583
9.89,0.144435445
9.9,0.14436547
9.91,0.144295644
9.92,0.144225976
9.93,0.144156449
9.94,0.144087079
9.95,0.144017859
9.96,0.143948785
9.97,0.143879869
9.98,0.143811091
9.99,0.143742469
10,0.143673992
10.01,0.143660867
10.02,0.143644615
10.03,0.143628409
10.04,0.143612231
10.05,0.143596099
10.06,0.143580004
10.07,0.143563946
10.08,0.143547924
10.09,0.143531939
10.1,0.143516
10.11,0.143500087
10.12,0.14348422
10.13,0.14346838
10.14,0.143452586
10.15,0.143436828
10.16,0.143421106
10.17,0.143405419
10.18,0.143389779
10.19,0.143374164
10.2,0.143358595
10.21,0.143343051
10.22,0.143327552
10.23,0.143312081
10.24,0.143296653
10.25,0.14328125
10.26,0.143265893
10.27,0.14325057
10.28,0.143235284
10.29,0.143220031
10.3,0.143204813
10.31,0.143189631
10.32,0.143174483
10.33,0.14315937
10.34,0.143144291
10.35,0.143129247
10.36,0.143114237
10.37,0.143099261
10.38,0.14308432
10.39,0.143069413
10.4,0.14305455
10.41,0.143039711
10.42,0.143024906
10.43,0.143010135
10.44,0.142995398
10.45,0.142980694
10.46,0.142966024
10.47,0.142951387
10.48,0.142936775
10.49,0.142922206
10.5,0.14290767
10.51,0.142893167
10.52,0.142878697
10.53,0.142864251
10.54,0.142849848
10.55,0.142835479
10.56,0.142821132
10.57,0.142806828
10.58,0.142792547
10.59,0.142778298
10.6,0.142764082
10.61,0.142749899
10.62,0.142735749
10.63,0.14272163
10.64,0.142707545
10.65,0.142693492
10.66,0.142679461
10.67,0.142665472
10.68,0.142651506
10.69,0.142637572
10.7,0.142623679
10.71,0.142609809
10.72,0.142595971
10.73,0.142582155
10.74,0.142568379
10.75,0.142554636
10.76,0.142540915
10.77,0.142527225
10.78,0.142513567
10.79,0.142499941
10.8,0.142486345
10.81,0.142472771
10.82,0.142459239
10.83,0.142445727
10.84,0.142432247
10.85,0.142418798
10.86,0.14240538
10.87,0.142391993
10.88,0.142378627
10.89,0.142365301
10.9,0.142351998
10.91,0.142338724
10.92,0.14232547
10.93,0.142312258
10.94,0.142299067
10.95,0.142285905
10.96,0.142272775
10.97,0.142259674
10.98,0.142246604
10.99,0.142233554
11,0.142220534
11.01,0.142207545
11.02,0.142194576
11.03,0.142181636
11.04,0.142168738
11.05,0.142155858
11.06,0.142142998
11.07,0.142130179
11.08,0.142117379
11.09,0.142104609
11.1,0.142091868
11.11,0.142079148
11.12,0.142066467
11.13,0.142053804
11.14,0.142041173
11.15,0.142028559
11.16,0.142015976
11.17,0.142003422
11.18,0.141990896
11.19,0.141978401
11.2,0.141965923
11.21,0.141953476
11.22,0.141941047
11.23,0.141928647
11.24,0.141916276
11.25,0.141903934
11.26,0.141891611
11.27,0.141879326
11.28,0.141867051
11.29,0.141854813
11.3,0.141842595
11.31,0.141830414
11.32,0.141818243
11.33,0.14180611
11.34,0.141793995
11.35,0.141781899
11.36,0.141769841
11.37,0.141757801
11.38,0.141745788
11.39,0.141733795
11.4,0.14172183
11.41,0.141709893
11.42,0.141697983
11.43,0.141686091
11.44,0.141674219
11.45,0.141662382
11.46,0.141650564
11.47,0.141638773
11.48,0.141627001
11.49,0.141615256
11.5,0.141603539
11.51,0.141591839
11.52,0.141580167
11.53,0.141568522
11.54,0.141556904
11.55,0.141545294
11.56,0.141533721
11.57,0.141522167
11.58,0.141510638
11.59,0.141499137
11.6,0.141487653
11.61,0.141476197
11.62,0.141464756
11.63,0.141453343
11.64,0.141441957
11.65,0.141430579
11.66,0.141419237
11.67,0.141407921
11.68,0.141396622
11.69,0.141385341
11.7,0.141374096
11.71,0.141362857
11.72,0.141351655
11.73,0.14134047
11.74,0.141329311
11.75,0.141318167
11.76,0.141307052
11.77,0.141295952
11.78,0.141284879
11.79,0.141273831
11.8,0.1412628
11.81,0.141251796
11.82,0.141240808
11.83,0.141229846
11.84,0.141218909
11.85,0.141207988
11.86,0.141197084
11.87,0.141186205
11.88,0.141175353
11.89,0.141164516
11.9,0.141153705
11.91,0.14114291
11.92,0.14113214
11.93,0.141121397
11.94,0.141110669
11.95,0.141099966
11.96,0.141089279
11.97,0.141078619
11.98,0.141067972
11.99,0.141057352
12,0.141046747
12.01,0.141036167
12.02,0.141025612
12.03,0.141015074
12.04,0.14100455
12.05,0.140994051
